,id_pelanggan,jam_main_mingguan,genre_favorit,pengeluaran_snack,waktu_main_utama,hardware_requirement,vip_lounge_visit,target_membership
109,110,49.21,FPS,52000,Sore,1,6,1
110,111,34.73,RPG,85000,Sore,1,8,0
111,112,30.95,FPS,55000,Pagi,1,10,0
112,113,10.11,Casual,35000,Sore,0,1,0
113,114,33.37,MOBA,99000,Subuh,1,24,0
114,115,41.21,FPS,16000,Sore,1,21,1
115,116,45.01,MOBA,17000,Sore,1,16,1
116,117,55.66,Casual,60000,Subuh,0,13,0
117,118,48.17,RPG,21000,Subuh,0,8,0
118,119,35.71,MOBA,83000,Sore,1,5,1
119,120,30.66,FPS,39000,Siang,1,12,0
120,121,33.03,MOBA,94000,Sore,1,24,0
121,122,37.58,Casual,75000,Sore,1,10,1
122,123,42.71,RPG,76000,Pagi,0,14,0
123,124,45.52,MOBA,83000,Malam,1,24,1
124,125,48.04,FPS,51000,Malam,1,6,0
125,126,36.31,Casual,57000,Sore,0,24,0
126,127,54.6,MOBA,27000,Siang,1,16,1
127,128,9.21,MOBA,63000,Malam,1,3,0
128,129,42.1,Casual,7000,Siang,1,13,0
129,130,44.45,Casual,85000,Sore,0,18,0
130,131,10.77,Casual,17000,Pagi,0,2,0
131,132,24.54,FPS,76000,Siang,1,4,0
132,133,7.74,Casual,56000,Sore,1,1,0
133,134,55.19,Casual,26000,Malam,1,11,0
134,135,3.0,FPS,39000,Sore,1,3,0
135,136,31.4,FPS,96000,Pagi,1,12,0
136,137,36.13,FPS,43000,Sore,1,23,1
137,138,28.63,FPS,8000,Sore,0,2,0
138,139,31.94,Casual,51000,Sore,0,5,0
139,140,5.45,RPG,40000,Sore,0,3,0
140,141,58.76,Casual,73000,Subuh,0,7,0
141,142,40.64,FPS,62000,Pagi,1,7,1
142,143,33.85,Casual,14000,Sore,1,24,0
143,144,13.09,RPG,36000,Siang,0,0,0
144,145,2.57,FPS,88000,Subuh,1,1,0
145,146,37.86,RPG,30000,Malam,0,16,1
146,147,21.37,Casual,57000,Siang,1,2,0
147,148,46.05,Casual,16000,Sore,1,21,0
148,149,31.24,FPS,56000,Subuh,1,13,0
149,150,50.26,Casual,18000,Subuh,0,9,0
150,151,54.94,FPS,82000,Pagi,1,21,1
151,152,30.35,Casual,25000,Siang,0,10,0
152,153,15.79,FPS,68000,Siang,1,1,0
153,154,46.48,MOBA,9000,Malam,1,5,0
154,155,36.59,MOBA,11000,Sore,1,8,1
155,156,18.53,RPG,95000,Malam,1,4,1
156,157,16.92,RPG,30000,Malam,0,2,1
157,158,20.72,MOBA,50000,Pagi,0,0,0
158,159,42.59,Casual,46000,Sore,1,9,0
159,160,58.09,MOBA,61000,Sore,1,21,0
160,161,57.06,RPG,55000,Siang,1,23,0
161,162,48.59,RPG,74000,Malam,1,22,1
162,163,14.05,MOBA,10000,Siang,0,1,0
163,164,59.96,MOBA,59000,Siang,1,19,1
164,165,18.54,Casual,16000,Sore,1,1,0
165,166,4.24,RPG,35000,Subuh,0,2,1
166,167,29.38,RPG,71000,Malam,1,3,1
167,168,48.43,Casual,80000,Pagi,1,5,1
168,169,37.34,MOBA,45000,Sore,1,17,1
169,170,56.4,RPG,12000,Pagi,0,21,0
170,171,29.31,FPS,60000,Malam,1,1,0
171,172,20.85,Casual,75000,Pagi,0,1,1
172,173,14.78,FPS,31000,Subuh,1,0,0
173,174,24.11,Casual,26000,Siang,1,4,0
174,175,25.64,Casual,89000,Sore,1,1,0
175,176,59.48,RPG,43000,Subuh,0,23,1
176,177,14.61,MOBA,41000,Pagi,0,2,0
177,178,48.25,MOBA,97000,Pagi,1,24,1
178,179,11.26,MOBA,54000,Siang,1,2,0
179,180,14.24,Casual,76000,Pagi,0,4,0
180,181,52.77,RPG,31000,Malam,0,6,1
181,182,48.76,Casual,94000,Sore,0,19,0
182,183,42.05,Casual,52000,Subuh,0,17,0
183,184,59.5,MOBA,52000,Subuh,1,7,1
184,185,41.0,RPG,87000,Subuh,0,20,1
185,186,51.18,RPG,20000,Malam,0,14,0
186,187,42.24,Casual,20000,Sore,1,23,0
187,188,1.3,Casual,37000,Siang,1,4,0
188,189,1.38,Casual,13000,Sore,1,0,0
189,190,23.23,Casual,56000,Sore,0,2,0
190,191,32.93,Casual,85000,Malam,0,9,0
191,192,56.3,Casual,78000,Malam,0,21,1
192,193,42.81,MOBA,38000,Siang,0,22,0
193,194,58.44,FPS,47000,Sore,0,16,0
194,195,2.31,MOBA,40000,Sore,1,1,0
195,196,28.64,Casual,45000,Subuh,1,4,0
196,197,14.03,MOBA,78000,Malam,1,2,0
197,198,57.83,Casual,46000,Subuh,1,9,0
198,199,24.46,FPS,47000,Sore,1,3,0
199,200,45.0,RPG,8000,Malam,0,19,1
200,201,33.05,Casual,23000,Pagi,0,12,0
201,202,50.84,Casual,7000,Subuh,0,7,0
202,203,28.26,MOBA,16000,Pagi,1,3,0
203,204,12.83,FPS,20000,Subuh,1,2,1
204,205,9.83,FPS,12000,Siang,1,2,0
205,206,51.75,MOBA,91000,Sore,1,13,1
206,207,59.21,Casual,7000,Malam,1,14,0
207,208,56.53,FPS,54000,Pagi,1,5,1
208,209,22.11,RPG,18000,Malam,0,1,1
209,210,3.43,Casual,15000,Sore,0,2,0
210,211,56.24,RPG,63000,Sore,1,12,0
211,212,48.3,MOBA,63000,Sore,1,8,1
212,213,47.25,RPG,66000,Malam,1,15,1
213,214,36.0,Casual,20000,Subuh,0,23,1
214,215,20.88,Casual,88000,Subuh,0,2,0
215,216,2.23,RPG,27000,Subuh,1,2,0
216,217,24.79,FPS,12000,Pagi,1,0,0
217,218,43.9,FPS,85000,Subuh,1,16,1
218,219,30.79,MOBA,87000,Pagi,1,6,0
219,220,52.53,MOBA,80000,Siang,1,16,1
220,221,28.48,FPS,75000,Sore,1,3,0
221,222,11.6,Casual,40000,Siang,0,4,0
222,223,26.79,MOBA,88000,Pagi,1,0,0
223,224,58.2,MOBA,87000,Subuh,1,12,1
224,225,24.4,RPG,48000,Sore,0,1,0
225,226,40.49,FPS,46000,Malam,1,16,1
226,227,10.86,Casual,41000,Sore,1,4,0
227,228,47.13,Casual,82000,Malam,1,10,0
228,229,7.6,MOBA,99000,Pagi,1,3,0
229,230,38.76,RPG,48000,Subuh,0,21,1
230,231,41.6,Casual,99000,Sore,0,6,1
231,232,58.41,RPG,48000,Malam,0,16,1
232,233,8.42,MOBA,34000,Siang,1,1,0
233,234,44.12,FPS,47000,Subuh,1,19,1
234,235,50.45,MOBA,41000,Siang,1,12,1
235,236,46.34,RPG,93000,Malam,0,23,1
236,237,49.78,Casual,67000,Siang,0,6,1
237,238,3.84,FPS,87000,Pagi,1,0,0
238,239,18.03,RPG,88000,Malam,0,2,1
239,240,45.97,FPS,35000,Subuh,1,11,0
240,241,20.15,Casual,63000,Subuh,0,4,0
241,242,15.02,FPS,47000,Siang,1,1,0
242,243,30.53,FPS,87000,Siang,1,16,0
243,244,32.07,RPG,56000,Malam,1,10,1
244,245,43.21,RPG,7000,Sore,0,19,0
245,246,57.32,Casual,93000,Malam,1,23,0
246,247,29.67,Casual,55000,Sore,1,3,0
247,248,19.37,Casual,73000,Siang,0,3,1
248,249,31.83,RPG,70000,Sore,0,11,0
249,250,47.81,FPS,29000,Malam,1,11,1
250,251,23.04,FPS,65000,Sore,0,4,0
251,252,14.46,FPS,66000,Siang,1,1,0
252,253,21.85,MOBA,29000,Malam,1,2,0
253,254,40.61,FPS,14000,Malam,0,22,0
254,255,14.88,Casual,87000,Subuh,0,4,1
255,256,36.82,Casual,66000,Pagi,0,6,0
256,257,36.23,MOBA,43000,Subuh,1,21,0
257,258,21.12,MOBA,15000,Siang,1,4,0
258,259,6.05,FPS,62000,Pagi,1,2,0
259,260,37.41,FPS,54000,Siang,1,16,1
260,261,32.86,MOBA,61000,Sore,1,7,0
261,262,4.09,Casual,68000,Pagi,1,3,0
262,263,34.18,Casual,96000,Subuh,0,20,1
263,264,25.94,RPG,77000,Malam,0,3,1
264,265,23.57,RPG,43000,Sore,1,3,0
265,266,40.62,Casual,64000,Siang,1,5,0
266,267,30.9,Casual,72000,Malam,0,22,1
267,268,23.47,MOBA,94000,Pagi,1,2,0
268,269,27.38,Casual,88000,Sore,1,3,1
269,270,13.3,RPG,43000,Malam,0,1,1
270,271,48.55,Casual,25000,Pagi,0,7,0
271,272,42.0,MOBA,96000,Siang,1,6,0
272,273,51.86,Casual,63000,Pagi,0,18,0
273,274,30.65,FPS,83000,Subuh,1,12,0
274,275,30.86,RPG,96000,Malam,1,17,1
275,276,52.69,FPS,15000,Subuh,0,6,0
276,277,9.97,RPG,59000,Sore,0,2,0
277,278,37.55,RPG,98000,Sore,0,13,0
278,279,16.66,RPG,71000,Siang,0,0,0
279,280,14.03,FPS,64000,Malam,1,1,0
280,281,53.31,MOBA,67000,Sore,1,18,1
281,282,23.84,FPS,6000,Siang,0,4,0
282,283,16.33,MOBA,70000,Subuh,1,4,0
283,284,38.13,FPS,81000,Subuh,0,21,0
284,285,33.33,RPG,52000,Sore,0,8,0
285,286,15.37,MOBA,50000,Pagi,1,4,0
286,287,47.32,FPS,18000,Pagi,1,13,1
287,288,26.82,FPS,32000,Siang,0,3,0
288,289,49.68,RPG,68000,Subuh,0,19,1
289,290,27.59,FPS,19000,Malam,1,4,0
290,291,3.24,RPG,73000,Siang,0,0,1
291,292,44.51,MOBA,49000,Malam,1,19,1
292,293,47.25,RPG,22000,Siang,0,12,0
293,294,2.24,Casual,54000,Pagi,0,0,1
294,295,40.37,RPG,17000,Malam,1,13,1
295,296,29.22,RPG,97000,Subuh,0,1,1
296,297,35.36,RPG,54000,Malam,0,14,0
297,298,55.76,RPG,14000,Malam,0,22,1
298,299,15.2,FPS,69000,Sore,1,4,0
299,300,49.14,RPG,89000,Sore,0,17,0
300,301,58.73,MOBA,74000,Malam,0,15,0
301,302,32.83,FPS,21000,Subuh,1,24,0
302,303,13.6,RPG,19000,Malam,0,4,1
303,304,30.99,RPG,15000,Sore,0,16,0
304,305,45.91,RPG,20000,Malam,1,16,1
305,306,59.52,Casual,23000,Siang,0,14,0
306,307,49.09,RPG,23000,Malam,1,24,1
307,308,51.03,MOBA,8000,Pagi,0,6,0
308,309,41.02,Casual,19000,Sore,1,8,0
309,310,38.96,MOBA,89000,Sore,0,10,0
310,311,42.04,FPS,8000,Malam,0,17,0
311,312,35.7,Casual,53000,Sore,0,20,0
312,313,42.47,Casual,62000,Siang,0,23,0
313,314,49.68,FPS,65000,Sore,0,17,0
314,315,58.94,FPS,80000,Sore,1,8,0
315,316,44.39,FPS,13000,Malam,0,19,1
316,317,56.05,FPS,21000,Malam,1,19,0
317,318,25.18,MOBA,76000,Pagi,1,4,0
318,319,22.37,MOBA,21000,Sore,0,4,0
319,320,55.85,RPG,94000,Sore,0,23,0
320,321,28.24,Casual,81000,Siang,1,3,0
321,322,5.76,RPG,91000,Subuh,1,3,1
322,323,10.38,Casual,17000,Pagi,1,0,1
323,324,5.07,Casual,9000,Malam,0,3,0
324,325,58.52,Casual,77000,Siang,1,10,0
325,326,29.77,Casual,9000,Siang,1,0,0
326,327,19.6,RPG,38000,Subuh,0,2,1
327,328,34.05,RPG,42000,Subuh,1,18,1
328,329,58.9,MOBA,19000,Siang,0,21,0
329,330,58.35,Casual,97000,Subuh,0,22,1
330,331,25.66,FPS,86000,Pagi,1,4,0
331,332,24.83,RPG,11000,Subuh,0,1,1
332,333,10.78,MOBA,68000,Pagi,1,1,0
333,334,28.15,RPG,57000,Siang,0,3,0
334,335,58.71,RPG,80000,Sore,0,24,0
335,336,45.75,Casual,54000,Subuh,0,24,0
336,337,15.09,FPS,58000,Malam,1,1,0
337,338,28.37,Casual,32000,Siang,0,3,0
338,339,24.45,RPG,79000,Subuh,0,1,0
339,340,22.04,FPS,60000,Subuh,1,0,0
340,341,54.99,Casual,54000,Malam,0,16,0
341,342,37.19,FPS,91000,Siang,0,10,0
342,343,12.92,Casual,40000,Malam,1,4,0
343,344,37.3,MOBA,86000,Pagi,1,18,1
344,345,59.32,FPS,98000,Subuh,1,6,1
345,346,53.03,RPG,67000,Siang,0,7,0
346,347,43.44,MOBA,25000,Subuh,1,13,1
347,348,32.91,RPG,77000,Subuh,1,16,1
348,349,22.11,MOBA,83000,Malam,1,1,0
349,350,7.66,MOBA,15000,Subuh,1,1,0
350,351,27.57,MOBA,63000,Pagi,1,2,0
351,352,15.98,FPS,17000,Siang,1,3,0
352,353,10.86,Casual,27000,Sore,0,0,0
353,354,22.26,FPS,8000,Subuh,1,3,0
354,355,52.4,RPG,82000,Siang,1,23,0
355,356,40.57,RPG,21000,Malam,0,18,1
356,357,33.25,RPG,44000,Subuh,0,21,0
357,358,44.65,MOBA,97000,Pagi,1,23,1
358,359,42.26,Casual,7000,Pagi,0,23,0
359,360,7.64,MOBA,16000,Malam,0,0,0
360,361,28.66,FPS,83000,Subuh,1,2,0
361,362,36.33,RPG,91000,Subuh,0,18,0
362,363,59.35,RPG,13000,Sore,1,16,0
363,364,59.73,MOBA,59000,Subuh,0,24,0
364,365,29.81,FPS,14000,Subuh,0,2,0
365,366,52.86,FPS,7000,Malam,1,18,1
366,367,36.51,MOBA,21000,Subuh,1,24,1
367,368,38.74,RPG,54000,Siang,0,17,1
368,369,16.5,Casual,62000,Pagi,0,0,0
369,370,3.35,MOBA,9000,Sore,1,0,0
370,371,28.91,RPG,24000,Malam,0,0,1
371,372,1.32,MOBA,10000,Sore,1,0,0
372,373,48.35,FPS,26000,Siang,1,13,1
373,374,6.14,FPS,83000,Subuh,1,0,0
374,375,40.85,MOBA,99000,Subuh,1,17,1
375,376,25.89,Casual,89000,Subuh,1,3,1
376,377,18.51,MOBA,96000,Siang,1,0,0
377,378,4.02,FPS,84000,Pagi,1,1,0
378,379,40.25,FPS,48000,Siang,0,19,0
379,380,45.32,FPS,43000,Sore,1,11,1
380,381,39.12,MOBA,39000,Sore,1,18,1
381,382,54.88,FPS,20000,Sore,1,6,1
382,383,49.91,MOBA,19000,Pagi,1,16,1
383,384,29.67,FPS,43000,Subuh,0,0,0
384,385,28.53,Casual,67000,Malam,0,2,0
385,386,40.71,RPG,57000,Subuh,0,16,1
386,387,49.52,Casual,60000,Pagi,0,12,0
387,388,1.73,RPG,62000,Subuh,0,1,0
388,389,26.4,Casual,9000,Pagi,0,3,0
389,390,31.52,MOBA,66000,Sore,1,15,0
390,391,40.95,FPS,55000,Malam,1,10,1
391,392,41.61,FPS,97000,Sore,1,17,1
392,393,3.3,MOBA,93000,Sore,0,1,0
393,394,9.68,FPS,32000,Subuh,1,4,1
394,395,19.52,RPG,47000,Subuh,0,4,0
395,396,57.71,Casual,8000,Malam,1,13,0
396,397,32.96,MOBA,28000,Sore,1,6,0
397,398,12.48,FPS,53000,Malam,1,2,0
398,399,21.49,Casual,60000,Subuh,0,1,0
399,400,24.7,FPS,75000,Siang,1,0,0
400,401,28.23,RPG,43000,Pagi,0,3,0
401,402,8.81,RPG,91000,Subuh,0,3,0
402,403,45.01,RPG,17000,Subuh,0,18,0
403,404,58.21,RPG,49000,Subuh,0,10,1
404,405,23.14,MOBA,55000,Sore,1,0,0
405,406,43.82,FPS,98000,Siang,1,19,1
406,407,34.84,FPS,50000,Pagi,0,17,0
407,408,50.97,Casual,28000,Sore,0,17,1
408,409,14.02,RPG,7000,Malam,0,2,1
409,410,32.11,Casual,33000,Malam,1,7,0
410,411,57.49,RPG,99000,Sore,1,12,0
411,412,1.84,FPS,37000,Subuh,1,4,0
412,413,56.29,Casual,68000,Pagi,1,6,0
413,414,24.55,MOBA,12000,Malam,1,2,0
414,415,7.55,Casual,60000,Siang,0,2,0
415,416,18.67,Casual,16000,Siang,1,3,0
416,417,42.9,Casual,33000,Malam,1,7,0
417,418,55.82,MOBA,30000,Subuh,1,11,1
418,419,38.79,FPS,8000,Sore,1,21,1
419,420,52.15,MOBA,61000,Malam,1,22,1
420,421,43.12,Casual,34000,Malam,0,12,0
421,422,30.31,MOBA,89000,Siang,1,13,0
422,423,19.74,RPG,23000,Subuh,1,0,0
423,424,50.52,FPS,37000,Malam,1,15,1
424,425,8.67,FPS,85000,Malam,1,1,0
425,426,26.6,FPS,41000,Malam,1,0,0
426,427,30.14,FPS,93000,Pagi,1,14,0
427,428,16.0,RPG,68000,Subuh,1,0,1
428,429,56.69,FPS,15000,Sore,1,9,0
429,430,22.24,Casual,42000,Pagi,0,1,0
430,431,46.48,FPS,10000,Pagi,0,9,0
431,432,51.17,Casual,40000,Sore,1,5,0
432,433,45.49,FPS,33000,Malam,1,10,1
433,434,24.31,Casual,49000,Pagi,1,3,0
434,435,40.35,FPS,16000,Siang,1,19,1
435,436,1.87,FPS,92000,Siang,0,3,0
436,437,2.85,RPG,43000,Malam,0,4,1
437,438,57.85,Casual,43000,Pagi,0,20,0
438,439,31.76,MOBA,86000,Subuh,0,19,0
439,440,8.09,MOBA,46000,Subuh,1,1,0
440,441,38.87,Casual,5000,Sore,0,17,1
441,442,50.98,FPS,57000,Pagi,1,12,1
442,443,9.99,Casual,11000,Pagi,1,1,0
443,444,45.1,RPG,69000,Malam,1,9,1
444,445,39.41,RPG,96000,Siang,0,16,0
445,446,53.87,FPS,79000,Subuh,1,17,1
446,447,38.52,RPG,21000,Malam,1,19,1
447,448,18.14,Casual,56000,Pagi,0,1,0
448,449,1.46,Casual,27000,Pagi,1,2,0
449,450,21.9,MOBA,70000,Subuh,1,1,0
450,451,11.64,RPG,9000,Sore,0,3,0
451,452,40.79,FPS,98000,Subuh,1,16,1
452,453,12.62,RPG,52000,Malam,1,0,0
453,454,28.08,MOBA,61000,Siang,1,3,0
454,455,44.2,FPS,95000,Sore,1,20,1
455,456,45.68,FPS,86000,Malam,1,5,1
456,457,47.1,Casual,59000,Subuh,0,13,0
457,458,47.28,Casual,93000,Siang,1,14,1
458,459,51.03,Casual,82000,Subuh,0,7,1
459,460,1.03,Casual,32000,Sore,1,0,0
460,461,45.9,FPS,65000,Malam,1,7,0
461,462,27.22,MOBA,39000,Siang,1,4,0
462,463,22.16,Casual,85000,Pagi,0,4,1
463,464,2.62,RPG,26000,Pagi,0,0,0
464,465,41.09,FPS,95000,Subuh,1,23,1
465,466,20.25,RPG,32000,Malam,1,1,1
466,467,25.75,Casual,83000,Malam,0,3,0
467,468,16.06,Casual,36000,Malam,0,2,0
468,469,56.51,FPS,49000,Sore,1,8,1
469,470,46.5,MOBA,83000,Siang,1,24,1
470,471,3.22,MOBA,57000,Pagi,0,0,0
471,472,22.37,FPS,97000,Subuh,1,2,0
472,473,4.06,Casual,97000,Sore,0,0,1
473,474,25.94,MOBA,90000,Subuh,1,2,0
474,475,8.4,Casual,91000,Malam,1,4,1
475,476,9.83,Casual,12000,Siang,1,2,0
476,477,31.54,FPS,95000,Siang,1,21,0
477,478,18.5,FPS,17000,Subuh,0,0,0
478,479,11.15,FPS,94000,Siang,1,2,0
479,480,8.2,MOBA,74000,Pagi,1,2,0
480,481,9.39,MOBA,37000,Malam,0,0,0
481,482,43.9,RPG,46000,Malam,0,19,1
482,483,23.85,Casual,42000,Sore,1,2,0
483,484,42.52,MOBA,85000,Malam,1,23,1
484,485,32.52,Casual,10000,Pagi,0,20,0
485,486,11.58,Casual,73000,Sore,0,2,1
486,487,48.72,RPG,34000,Sore,1,23,0
487,488,5.18,MOBA,64000,Sore,1,2,0
488,489,15.6,Casual,10000,Pagi,0,4,0
489,490,21.82,FPS,94000,Subuh,1,4,0
490,491,47.24,MOBA,13000,Pagi,1,9,0
491,492,13.12,RPG,95000,Malam,0,2,1
492,493,36.47,Casual,31000,Siang,1,13,1
493,494,4.98,FPS,98000,Siang,1,4,1
494,495,33.77,MOBA,72000,Pagi,1,21,0
495,496,16.59,MOBA,54000,Sore,1,3,0
496,497,41.7,MOBA,62000,Sore,0,10,0
497,498,26.39,Casual,62000,Malam,0,1,0
498,499,1.89,RPG,40000,Malam,0,0,1
499,500,15.72,MOBA,87000,Pagi,0,0,0
500,501,56.74,MOBA,94000,Subuh,1,8,1
501,502,41.13,Casual,65000,Subuh,0,21,0
502,503,56.44,MOBA,43000,Subuh,1,10,1
503,504,7.01,MOBA,76000,Siang,0,2,0
504,505,48.62,RPG,30000,Malam,1,23,1
505,506,37.18,FPS,69000,Siang,1,12,1
506,507,49.28,RPG,75000,Pagi,0,18,0
507,508,15.61,Casual,39000,Siang,1,1,0
508,509,36.09,MOBA,95000,Siang,1,23,1
509,510,17.71,Casual,24000,Siang,0,2,0
510,511,5.04,MOBA,46000,Subuh,1,0,0
511,512,52.05,FPS,90000,Pagi,0,6,0
512,513,15.65,Casual,84000,Malam,0,2,1
513,514,4.78,MOBA,53000,Sore,1,4,0
514,515,30.66,FPS,50000,Malam,1,5,0
515,516,25.17,MOBA,44000,Subuh,0,4,0
516,517,56.61,MOBA,89000,Subuh,1,23,0
517,518,18.06,Casual,93000,Sore,0,0,1
518,519,21.87,Casual,88000,Subuh,0,4,1
519,520,21.91,MOBA,31000,Pagi,1,4,0
520,521,33.65,RPG,38000,Malam,1,21,0
521,522,28.25,MOBA,47000,Pagi,0,4,0
522,523,43.59,Casual,27000,Subuh,0,12,0
523,524,32.38,Casual,54000,Pagi,0,15,0
524,525,53.02,MOBA,39000,Malam,1,6,1
525,526,36.86,MOBA,21000,Sore,1,12,1
526,527,25.47,FPS,46000,Sore,1,1,0
527,528,30.51,RPG,57000,Malam,0,19,0
528,529,36.73,Casual,94000,Siang,0,17,1
529,530,53.84,RPG,78000,Subuh,1,21,1
530,531,40.72,RPG,58000,Malam,0,20,0
531,532,43.68,Casual,77000,Subuh,1,20,0
532,533,8.52,MOBA,80000,Subuh,0,1,0
533,534,29.58,RPG,12000,Malam,1,2,0
534,535,13.27,Casual,88000,Malam,0,3,1
535,536,33.19,FPS,12000,Siang,1,19,0
536,537,56.61,MOBA,36000,Sore,0,18,0
537,538,5.05,MOBA,41000,Malam,1,1,0
538,539,55.83,MOBA,26000,Pagi,1,6,1
539,540,33.36,FPS,60000,Pagi,1,9,0
540,541,21.66,Casual,54000,Pagi,0,2,0
